0	1	1766876799069
1	2	1766876799015
2	3	1766876800179
3	4	1766876801168
3	5	1766876805194
4	6	1766876806478
5	7	1766876806652
6	8	1766876806854
6	9	1766876808100
7	10	1766876808226
8	11	1766876808866
9	12	1766876808911
10	13	1766876809490
11	14	1766876809589
12	15	1766876810482
13	16	1766876811118
13	17	1766876811118
14	18	1766876811118
15	19	1766876811117
16	20	1766876811537
17	21	1766876812316
18	22	1766876813376
19	23	1766876813376
20	24	1766876813416
21	25	1766876813377
22	26	1766876813766
22	27	1766876813732
23	28	1766876814116
24	29	1766876814333
25	30	1766876814667
26	31	1766876815172
27	32	1766876815172
28	33	1766876815172
29	34	1766876815217
30	35	1766876815556
30	36	1766876815741
30	37	1766876815836
31	38	1766876815938
32	39	1766876816083
33	40	1766876816348
34	41	1766876816392
35	42	1766876816418
36	43	1766876816452
37	44	1766876816526
37	45	1766876816709
38	46	1766876816984
39	47	1766876817022
40	48	1766876817142
41	49	1766876817515
42	50	1766876817886
43	51	1766876817894
44	52	1766876818016
45	53	1766876818226
46	54	1766876818238
47	55	1766876818986
48	56	1766876819638
49	57	1766876819639
50	58	1766876819737
50	59	1766876819870
51	60	1766876819870
52	61	1766876820065
52	62	1766876820318
52	63	1766876820623
53	64	1766876820809
54	65	1766876820910
55	66	1766876821267
56	67	1766876821340
57	68	1766876821480
58	69	1766876822177
58	70	1766876823131
59	71	1766876823260
60	72	1766876823878
61	73	1766876824079
62	74	1766876824366
62	75	1766876824502
63	76	1766876824672
63	77	1766876824769
63	78	1766876825179
64	79	1766876825208
64	80	1766876825258
65	81	1766876825149
66	82	1766876825576
67	83	1766876825682
68	84	1766876825882
69	85	1766876826076
70	86	1766876825991
71	87	1766876826388
72	88	1766876826638
73	89	1766876826949
74	90	1766876827717
75	91	1766876827711
76	92	1766876828090
77	93	1766876828388
78	94	1766876829013
79	95	1766876829687
80	96	1766876831040
80	97	1766876831138
81	98	1766876832408
82	99	1766876832650
83	100	1766876833199
84	101	1766876833232
85	102	1766876833661
86	103	1766876833759
87	104	1766876834229
88	105	1766876834971
89	106	1766876835350
89	107	1766876835419
90	108	1766876836411
91	109	1766876836754
92	110	1766876837143
93	111	1766876837206
93	112	1766876837206
94	113	1766876837687
95	114	1766876837711
95	115	1766876838066
96	116	1766876838407
96	117	1766876840086
97	118	1766876840168
98	119	1766876840190
99	120	1766876840904
100	121	1766876841119
101	122	1766876841139
101	123	1766876842052
102	124	1766876842830
103	125	1766876843121
104	126	1766876844015
104	127	1766876844786
105	128	1766876845597
106	129	1766876846354
107	130	1766876846394
108	131	1766876846997
108	132	1766876847324
108	133	1766876847512
109	134	1766876848035
110	135	1766876848861
111	136	1766876849359
112	137	1766876849456
112	138	1766876849860
113	139	1766876853466
114	140	1766876854293
115	141	1766876856038
116	142	1766876856373
117	143	1766876856763
117	144	1766876857389
117	145	1766876857549
118	146	1766876858525
118	147	1766876865064
119	148	1766876873494
120	149	1766876874780
121	150	1766876882263
122	151	1766876883527
123	152	1766876893838
124	153	1766876898868
125	154	1766876899253
125	155	1766876899866
125	156	1766876900815
126	157	1766876921841
127	158	1766876921944
127	159	1766876922564
128	160	1766876922898
129	161	1766876923680
130	162	1766876923704
130	163	1766876924661
131	164	1766876925612
132	165	1766876926557
133	166	1766876927507
134	167	1766876928943
134	168	1766876932714
135	169	1766876938713
136	170	1766876940351
137	171	1766876943499
138	172	1766876948199
139	173	1766876952367
140	174	1766876976937
141	175	1766876984010
142	176	1766876988087
143	177	1766876991987
144	178	1766876996858
145	179	1766877001539
146	180	1766877009602
147	181	1766877016221
148	182	1766877022462
